School_ID,Short_Name,Long_Name,Primary_Category,CPS_School_Profile,Website,School_Latitude,School_Longitude,Program_Type,Application_Requirements,Program_Selections
609713,HYDE PARK HS,Hyde Park Academy High School,HS,https://www.cps.edu/schools/profiles/school-overview/HYDE-PARK-HS,https://hydeparkcps.org,41.782257,-87.586615,HYDE PARK HS-Significantly Modified Curriculum w/ Moderate Supports,<ul><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Applicants are selected by random computerized lottery. If the program has priority groups, students in those groups are selected in the order listed.</li><li><strong>Priority: </strong>Proximity Preference,General</li></ul>"
609715,KELLY HS,Thomas Kelly College Preparatory,HS,https://www.cps.edu/schools/profiles/school-overview/KELLY-HS,https://kellyhighschool.org,41.818729,-87.694639,KELLY HS-Digital Media,<ul><li>Application Requirements: High School Admissions Test (HSAT) Scores Required.</li><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Students are selected by lottery within groups with preferences for students who have combined HSAT scores above the 58/48th percentile and who live within the attendance area of the school.</li><li><strong>Priority: </strong>Proximity Preference,General</li></ul>"
609715,KELLY HS,Thomas Kelly College Preparatory,HS,https://www.cps.edu/schools/profiles/school-overview/KELLY-HS,https://kellyhighschool.org,41.818729,-87.694639,KELLY HS-General Education,<ul><li>GPA: 2.00</li></ul>,"<ul><li><strong>Selection Type: </strong>Applicants are selected by random computerized lottery. If the program has priority groups, students in those groups are selected in the order listed.</li><li><strong>Priority: </strong>Sibling Preference,Staff Priority,General</li></ul>"
609715,KELLY HS,Thomas Kelly College Preparatory,HS,https://www.cps.edu/schools/profiles/school-overview/KELLY-HS,https://kellyhighschool.org,41.818729,-87.694639,KELLY HS-International Baccalaureate (IB),<ul><li>Application Requirements: High School Admissions Test (HSAT) Scores Required.</li><li>GPA: N/A</li></ul>,"<ul><li><strong>Priority: </strong>General</li><li><strong>Note: </strong>International Baccalaureate (IB) is an inquiry-based, concept-driven framework that aims to develop self-directed thinkers and reflective problem solvers. Students enrolled in the IB Program may receive college credit for their high school courses. All students applying to this program must take the CPS HSAT. </li></ul>"
609715,KELLY HS,Thomas Kelly College Preparatory,HS,https://www.cps.edu/schools/profiles/school-overview/KELLY-HS,https://kellyhighschool.org,41.818729,-87.694639,KELLY HS-Significantly Modified Curriculum w/ Moderate Supports,<ul><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Applicants are selected by random computerized lottery. If the program has priority groups, students in those groups are selected in the order listed.</li><li><strong>Priority: </strong>Proximity Preference,General</li></ul>"
609716,KELVYN PARK HS,Kelvyn Park High School,HS,https://www.cps.edu/schools/profiles/school-overview/KELVYN-PARK-HS,https://kphermosa.org,41.927918,-87.735999,KELVYN PARK HS-Open Enrollment,<ul><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Applicants are selected by random computerized lottery. If the program has priority groups, students in those groups are selected in the order listed.</li><li><strong>Priority: </strong>Sibling Preference,Staff Priority,General</li><li><strong>Note: </strong>Open enrollment programs offer a well-rounded general education curriculum, focusing on core subjects like math, science, reading, and social studies. These programs serve a broad range of students without admissions screening or specialized academic focus. </li></ul>"
609716,KELVYN PARK HS,Kelvyn Park High School,HS,https://www.cps.edu/schools/profiles/school-overview/KELVYN-PARK-HS,https://kphermosa.org,41.927918,-87.735999,KELVYN PARK HS-Fine & Performing Arts,<ul><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Applicants are selected by random computerized lottery. If the program has priority groups, students in those groups are selected in the order listed.</li><li><strong>Priority: </strong>Attendance Area,General</li></ul>"
609716,KELVYN PARK HS,Kelvyn Park High School,HS,https://www.cps.edu/schools/profiles/school-overview/KELVYN-PARK-HS,https://kphermosa.org,41.927918,-87.735999,KELVYN PARK HS-General Education,<ul><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Applicants are selected by random computerized lottery. If the program has priority groups, students in those groups are selected in the order listed.</li><li><strong>Priority: </strong>Sibling Preference,Staff Priority,General</li></ul>"
609716,KELVYN PARK HS,Kelvyn Park High School,HS,https://www.cps.edu/schools/profiles/school-overview/KELVYN-PARK-HS,https://kphermosa.org,41.927918,-87.735999,KELVYN PARK HS-Digital Media,<ul><li>Application Requirements: High School Admissions Test (HSAT) Scores Required.</li><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Students are selected by lottery within groups with preferences for students who have combined HSAT scores above the 58/48th percentile and who live within the attendance area of the school.</li><li><strong>Priority: </strong>Proximity Preference,General</li></ul>"
609716,KELVYN PARK HS,Kelvyn Park High School,HS,https://www.cps.edu/schools/profiles/school-overview/KELVYN-PARK-HS,https://kphermosa.org,41.927918,-87.735999,KELVYN PARK HS-Health Science,<ul><li>Application Requirements: High School Admissions Test (HSAT) Scores Required.</li><li>GPA: N/A</li></ul>,<ul><li><strong>Priority: </strong>General</li></ul>
609718,KENNEDY HS,John F Kennedy High School,HS,https://www.cps.edu/schools/profiles/school-overview/KENNEDY-HS,http://www.kennedy.cps.edu,41.789961,-87.78084,KENNEDY HS-General Education,<ul><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Applicants are selected by random computerized lottery. If the program has priority groups, students in those groups are selected in the order listed.</li><li><strong>Priority: </strong>Sibling Preference,Staff Priority,General</li></ul>"
609718,KENNEDY HS,John F Kennedy High School,HS,https://www.cps.edu/schools/profiles/school-overview/KENNEDY-HS,http://www.kennedy.cps.edu,41.789961,-87.78084,KENNEDY HS-International Baccalaureate (IB),<ul><li>Application Requirements: High School Admissions Test (HSAT) Scores Required.</li><li>GPA: N/A</li></ul>,"<ul><li><strong>Priority: </strong>General</li><li><strong>Note: </strong>International Baccalaureate (IB) is an inquiry-based, concept-driven framework that aims to develop self-directed thinkers and reflective problem solvers. Students enrolled in the IB Program may receive college credit for their high school courses. All students applying to this program must take the CPS HSAT. </li></ul>"
609718,KENNEDY HS,John F Kennedy High School,HS,https://www.cps.edu/schools/profiles/school-overview/KENNEDY-HS,http://www.kennedy.cps.edu,41.789961,-87.78084,KENNEDY HS-Significantly Modified Curriculum w/ Moderate Supports,<ul><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Applicants are selected by random computerized lottery. If the program has priority groups, students in those groups are selected in the order listed.</li><li><strong>Priority: </strong>Proximity Preference,General</li></ul>"
610529,OGDEN HS,Ogden International High School,HS,https://www.cps.edu/schools/profiles/school-overview/OGDEN-HS,https://ogden.cps.edu,41.893548,-87.659405,OGDEN HS-Deaf/Hard of Hearing,<ul><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Applicants are selected by random computerized lottery. If the program has priority groups, students in those groups are selected in the order listed.</li><li><strong>Priority: </strong>Proximity Preference,General</li></ul>"
610529,OGDEN HS,Ogden International High School,HS,https://www.cps.edu/schools/profiles/school-overview/OGDEN-HS,https://ogden.cps.edu,41.893548,-87.659405,OGDEN HS-International Baccalaureate (IB),<ul><li>Application Requirements: High School Admissions Test (HSAT) Scores Required.</li><li>GPA: N/A</li></ul>,"<ul><li><strong>Priority: </strong>General</li><li><strong>Note: </strong>International Baccalaureate (IB) is an inquiry-based, concept-driven framework that aims to develop self-directed thinkers and reflective problem solvers. Students enrolled in the IB Program may receive college credit for their high school courses. All students applying to this program must take the CPS HSAT. </li></ul>"
610592,ENGLEWOOD STEM HS,Englewood STEM High School,HS,https://www.cps.edu/schools/profiles/school-overview/ENGLEWOOD-STEM-HS,https://englewoodstemhs.cps.edu,41.770251,-87.639061,ENGLEWOOD STEM HS-Significantly Modified Curriculum w/ Moderate Supports,<ul><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Applicants are selected by random computerized lottery. If the program has priority groups, students in those groups are selected in the order listed.</li><li><strong>Priority: </strong>Proximity Preference,General</li></ul>"
610592,ENGLEWOOD STEM HS,Englewood STEM High School,HS,https://www.cps.edu/schools/profiles/school-overview/ENGLEWOOD-STEM-HS,https://englewoodstemhs.cps.edu,41.770251,-87.639061,ENGLEWOOD STEM HS-Early College STEM,<ul><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Applicants are selected by random computerized lottery. If the program has priority groups, students in those groups are selected in the order listed.</li><li><strong>Priority: </strong>Sibling Preference,Staff Priority,General</li></ul>"
610563,BACK OF THE YARDS HS,Back of the Yards IB High School,HS,https://www.cps.edu/schools/profiles/school-overview/BACK-OF-THE-YARDS-HS,https://boycp.org/,41.808413,-87.677541,BACK OF THE YARDS HS-Dual Language,<ul><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Students are selected by lottery within groups with preferences for students who have combined HSAT scores above the 58/48th percentile and who live within the attendance area of the school.</li><li><strong>Priority: </strong>Sibling Preference,Elementary Preference,General</li><li><strong>Note: </strong>One-way dual language programs provide instruction in two languages and serve mostly English Learners (ELs), former ELs, and heritage language learners in the same classroom. Elementary Preference School(s): AZUELA, BARRY, BATEMAN, BELMONT-CRAGIN, CALMECA, CARSON, CHASE, COOPER, DARWIN, EDWARDS, ERIE, GLOBAL CITIZENSHIP, HURLEY, INTER-AMERICAN, MOOS, MOZART, NAMASTE, SABIN, SPRY ES, STO</li></ul>"
610563,BACK OF THE YARDS HS,Back of the Yards IB High School,HS,https://www.cps.edu/schools/profiles/school-overview/BACK-OF-THE-YARDS-HS,https://boycp.org/,41.808413,-87.677541,BACK OF THE YARDS HS-General Education,<ul><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Applicants are selected by random computerized lottery. If the program has priority groups, students in those groups are selected in the order listed.</li><li><strong>Priority: </strong>Sibling Preference,Staff Priority,Overlay Preference,General</li></ul>"
610563,BACK OF THE YARDS HS,Back of the Yards IB High School,HS,https://www.cps.edu/schools/profiles/school-overview/BACK-OF-THE-YARDS-HS,https://boycp.org/,41.808413,-87.677541,BACK OF THE YARDS HS-International Baccalaureate (IB),<ul><li>Application Requirements: High School Admissions Test (HSAT) Scores Required.</li><li>GPA: N/A</li></ul>,"<ul><li><strong>Priority: </strong>General</li><li><strong>Note: </strong>International Baccalaureate (IB) is an inquiry-based, concept-driven framework that aims to develop self-directed thinkers and reflective problem solvers. Students enrolled in the IB Program may receive college credit for their high school courses. All students applying to this program must take the CPS HSAT. </li></ul>"
610543,SOLORIO HS,Eric Solorio Academy High School,HS,https://www.cps.edu/schools/profiles/school-overview/SOLORIO-HS,https://solorioacademy.org,41.795201,-87.711059,SOLORIO HS-General Education,<ul><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Applicants are selected by random computerized lottery. If the program has priority groups, students in those groups are selected in the order listed.</li><li><strong>Priority: </strong>Staff Priority</li></ul>"
610543,SOLORIO HS,Eric Solorio Academy High School,HS,https://www.cps.edu/schools/profiles/school-overview/SOLORIO-HS,https://solorioacademy.org,41.795201,-87.711059,SOLORIO HS-Scholars,<ul><li>Application Requirements: High School Admissions Test (HSAT) Scores Required.</li><li>GPA: N/A</li></ul>,<ul><li><strong>Priority: </strong>General</li></ul>
610543,SOLORIO HS,Eric Solorio Academy High School,HS,https://www.cps.edu/schools/profiles/school-overview/SOLORIO-HS,https://solorioacademy.org,41.795201,-87.711059,SOLORIO HS-Significantly Modified Curriculum w/ Intensive Supports,<ul><li>GPA: N/A</li></ul>,"<ul><li><strong>Selection Type: </strong>Applicants are selected by random computerized lottery. If the program has priority groups, students in those groups are selected in the order listed.</li><li><strong>Priority: </strong>Proximity Preference,General</li></ul>"
610543,SOLORIO HS,Eric Solorio Academy High School,HS,https://www.cps.edu/schools/profiles/school-overview/SOLORIO-HS,https://solorioacademy.org,41.795201,-87.711059,SOLORIO HS-Pre-Engineering,<ul><li>Application Requirements: High School Admissions Test (HSAT) Scores Required.</li><li>GPA: N/A</li></ul>,<ul><li><strong>Priority: </strong>General</li></ul>
